aggregate_only_decryption_enforced,client_ids,destination,dp_budget_ok,dp_event_observed,formal_dp_status,he_crypto_observed,he_execution,key_isolation_enforced,mechanism,mode,noise_location,object,packet_index,packet_protection_status,released_model_dp_status,round,source,source_domain
False,77,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,69,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,7
False,78,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,70,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,8
False,79,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,71,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,9
False,81,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,72,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,1
False,82,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,73,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,2
False,83,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,74,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,3
False,84,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,75,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,4
False,85,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,76,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,5
False,86,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,77,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,6
False,89,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,78,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,9
False,90,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,79,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,0
False,91,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,80,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,1
False,92,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,81,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,2
False,94,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,82,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,4
False,95,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,83,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,5
False,96,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,84,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,6
False,97,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,85,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,7
False,98,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,86,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,8
False,99,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,87,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,9
False,0,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,0,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,0
False,1,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,1,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,1
False,2,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,2,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,2
False,3,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,3,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,3
False,4,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,4,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,4
False,5,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,5,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,5
False,6,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,6,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,6
False,7,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,7,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,7
False,8,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,8,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,8
False,9,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,9,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,9
False,10,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,10,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,0
False,11,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,11,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,1
False,13,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,12,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,3
False,14,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,13,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,4
False,15,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,14,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,5
False,16,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,15,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,6
False,17,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,16,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,7
False,19,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,17,unprotected_update,no_valid_dp_calibration_for_contribution,2,end,9
