actual_local_batches,actual_optimizer_steps,client_id,communication_volume,deadline_satisfied,edge_id,epsilon_used,fast_response_client,fast_response_deadline,feasible,feasible_memory,feasible_privacy,feasible_resource,feasible_risk,feasible_time,feature_dp_events,feature_epsilon,global_release_required,has_feasible_candidate,local_training_epochs,mechanisms,memory_capacity,memory_requirement,mode,omega_feature_clip_excess_sq,policy,pre_aggregation_time,projected_feature_epsilon,projected_update_epsilon,remaining_epsilon,risk,round,time,update_dp_events,update_epsilon,update_mechanism,update_protection_goal
3,3,75,404.32817471999994,,5,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_upd:he3,1.0329957754014922,0.948,LIIE,,full_dynfl,74.15525069838291,0.0,0.0,8.0,0.0696,0,87.13200032778424,0,0.0,he3,packet_protection
3,3,76,89.453136,,6,0.0,False,,True,True,True,True,False,True,0,0.0,0,True,3,L_E_upd:none,1.5225967874451976,0.948,LIIE,,full_dynfl,10.524215202014583,0.0,0.0,8.0,0.58,0,19.046274688046132,0,0.0,none,packet_protection
3,3,77,60.926568,,7,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.7023509254444353,0.5372,LIC,,full_dynfl,8.372966773749683,0.0,0.0,8.0,0.0,0,29.08085754356877,0,0.0,none,packet_protection
3,3,78,89.453136,,8,0.0,False,,True,True,True,True,False,True,0,0.0,0,True,3,L_E_upd:none,2.1302373664638856,0.948,LIIE,,full_dynfl,9.217025069301377,0.0,0.0,8.0,0.58,0,17.952313770281002,0,0.0,none,packet_protection
3,3,79,60.926568,,9,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.5075545469820644,0.5372,LIC,,full_dynfl,10.130472993217733,0.0,0.0,8.0,0.0,0,35.153361266699164,0,0.0,none,packet_protection
3,3,80,60.926568,,0,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.8296725957303435,0.5372,LIC,,full_dynfl,10.259383672101274,0.0,0.0,8.0,0.0,0,37.157820211652634,0,0.0,none,packet_protection
3,3,81,60.926568,,1,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.550842491022395,0.5372,LIC,,full_dynfl,8.067414151074628,0.0,0.0,8.0,0.0,0,26.88013534921388,0,0.0,none,packet_protection
3,3,82,60.926568,,2,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.2161122283893053,0.5372,LIC,,full_dynfl,7.622280943473289,0.0,0.0,8.0,0.0,0,24.977824895288176,0,0.0,none,packet_protection
3,3,83,60.926568,,3,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.4318254026176642,0.5372,LIC,,full_dynfl,9.253763400565724,0.0,0.0,8.0,0.0,0,31.720960818571147,0,0.0,none,packet_protection
3,3,84,60.926568,,4,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.1478191071057733,0.5372,LIC,,full_dynfl,7.933879390282206,0.0,0.0,8.0,0.0,0,28.764811963672948,0,0.0,none,packet_protection
3,3,85,60.926568,,5,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.9260925662709386,0.5372,LIC,,full_dynfl,9.362425263419125,0.0,0.0,8.0,0.0,0,26.72374447989919,0,0.0,none,packet_protection
